Timestamp,GlobalHorizIrr(PSP),GHIFlag,DirNormIrr,DNIFlag,DiffuseHorizIrr,DHIFlag
1997-01-01,15491.999999999996,255.0,2359.5,255.0,14190.990000000002,255.0
1997-01-02,17393.49,261.0,9665.689999999999,261.0,12609.710000000003,261.0
1997-01-03,18350.100000000002,216.0,18458.78,216.0,10160.91,216.0
1997-01-04,18739.580000000005,165.0,28888.079999999994,165.0,6507.870000000001,165.0
1997-01-05,25114.910000000007,225.0,35911.77999999999,225.0,9192.329999999998,225.0
1997-01-06,21632.5,171.0,39544.869999999995,171.0,4491.91,171.0
1997-01-07,22532.469999999998,180.0,38990.69000000002,180.0,4854.469999999999,180.0
1997-01-08,19850.489999999983,195.0,20714.64,195.0,10174.350000000004,195.0
1997-01-09,6841.810000000001,264.0,18.43,264.0,6554.179999999999,264.0
1997-01-10,26838.62,216.0,46602.12,216.0,6220.6100000000015,216.0
1997-01-11,17800.899999999998,234.0,731.53,234.0,16896.210000000003,234.0
1997-01-12,12091.760000000002,132.0,12133.109999999999,132.0,6174.839999999999,132.0
1997-01-13,7798.01,51.0,16333.539999999999,51.0,995.14,51.0
1997-01-14,8195.17,51.0,16665.15,51.0,872.4699999999998,51.0
1997-01-15,24061.800000000007,186.0,39424.880000000005,186.0,6665.03,186.0
1997-01-16,6689.849999999999,219.0,845.7100000000002,219.0,6180.590000000001,219.0
1997-01-17,11102.71,63.0,21741.870000000003,63.0,1208.07,63.0
1997-01-18,30291.130000000005,198.0,55630.04,198.0,5104.660000000001,198.0
1997-01-19,25094.36000000001,228.0,35889.869999999995,228.0,7695.299999999999,228.0
1997-01-20,22998.83000000001,240.0,25478.130000000005,240.0,10262.15,240.0
1997-01-21,26986.56,168.0,48865.799999999996,168.0,3573.82,168.0
1997-01-22,14202.999999999998,261.0,4751.769999999997,261.0,12115.789999999994,261.0
1997-01-23,34728.53,279.0,48520.920000000006,279.0,10902.130000000003,279.0
1997-01-24,11128.880000000001,267.0,44.419999999999995,267.0,10577.540000000003,267.0
1997-01-25,26925.869999999995,261.0,33163.65,261.0,11243.700000000006,261.0
1997-01-26,14696.150000000003,267.0,8965.659999999996,267.0,11983.680000000002,267.0
1997-01-27,10664.320000000005,288.0,103.87999999999998,288.0,10155.090000000004,288.0
1997-01-28,18660.060000000012,279.0,3636.7,279.0,16634.039999999994,279.0
1997-01-29,29553.41,156.0,53261.74999999999,156.0,2531.4899999999993,156.0
1997-01-30,26272.58000000001,198.0,46005.33,198.0,5476.630000000001,198.0
1997-01-31,31112.77000000001,279.0,28257.219999999998,279.0,17910.360000000008,279.0
1997-02-01,37494.9,216.0,66707.04,216.0,4359.399999999999,216.0
1997-02-02,14777.070000000003,276.0,157.36999999999998,276.0,14047.939999999997,276.0
1997-02-03,12254.360000000002,267.0,147.41000000000003,267.0,11588.550000000005,267.0
1997-02-04,6818.2699999999995,264.0,156.45999999999998,264.0,6386.239999999999,264.0
1997-02-06,12016.360000000002,108.0,14479.43,108.0,5255.119999999999,108.0
1997-02-07,9441.230000000003,258.0,45.790000000000006,258.0,8934.84,258.0
1997-02-08,2492.2900000000004,210.0,-21.009999999999994,210.0,2234.15,210.0
1997-02-09,5740.9800000000005,243.0,6.1599999999999975,243.0,5151.999999999997,243.0
1997-02-10,7263.76,258.0,0.2800000000000008,258.0,6880.309999999999,258.0
1997-02-11,13576.900000000001,297.0,80.54999999999998,297.0,12934.329999999987,297.0
1997-02-12,17566.55,240.0,2604.43,240.0,15727.499999999998,240.0
1997-02-13,12620.620000000004,279.0,82.74,279.0,11888.720000000003,279.0
1997-02-14,10042.089999999998,306.0,11.020000000000008,306.0,9480.73,306.0
1997-02-15,28711.599999999988,252.0,20431.109999999997,252.0,18235.590000000004,252.0
1997-02-16,28512.66,222.0,24727.27,222.0,14268.080000000002,222.0
1997-02-17,48760.27,258.0,81823.07999999997,258.0,5165.090000000002,258.0
1997-02-18,45185.29999999999,267.0,71863.96999999999,267.0,8129.169999999997,267.0
1997-02-19,25762.350000000013,252.0,15233.779999999995,252.0,18249.399999999994,252.0
1997-02-20,29303.19,237.0,19509.949999999997,237.0,17282.81,237.0
1997-02-21,9977.629999999997,204.0,447.67,204.0,9258.52,204.0
1997-02-22,7650.850000000002,288.0,38.27000000000001,288.0,7083.739999999996,288.0
1997-02-23,51926.79,264.0,81514.3,264.0,6430.880000000001,264.0
1997-02-24,49860.66999999999,303.0,61980.86000000004,303.0,17212.51999999999,303.0
1997-02-25,53356.490000000005,264.0,83206.66000000002,264.0,6281.24,264.0
1997-02-26,12790.499999999996,291.0,654.45,291.0,11750.740000000003,291.0
1997-02-27,23927.44,300.0,23503.849999999995,300.0,11366.129999999997,300.0
1997-02-28,13497.72,258.0,1524.59,258.0,12247.309999999994,258.0
1997-03-01,18179.04,294.0,5291.26,294.0,15194.900000000003,294.0
1997-03-02,18486.949999999997,264.0,2168.12,264.0,16615.36,264.0
1997-03-03,10582.689999999999,321.0,3203.8599999999997,321.0,8237.870000000004,321.0
1997-03-04,50918.69000000001,270.0,66711.0,270.0,8897.339999999991,270.0
1997-03-05,25993.299999999996,291.0,25008.750000000004,291.0,11346.320000000003,291.0
1997-03-06,48788.51000000001,276.0,55941.90999999998,276.0,13373.879999999997,276.0
1997-03-07,61138.49999999999,291.0,88005.83000000003,291.0,8897.08,291.0
1997-03-08,46299.409999999996,267.0,55006.24,267.0,10238.100000000004,267.0
1997-03-09,39553.58999999998,279.0,47287.69000000002,279.0,13786.260000000002,279.0
