Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,16395,-,-,India,27.55,71.95,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Wind Speed
2005,1,1,0,30,0,0,0,1.8719367980957031
2005,1,1,1,30,0,0,0,1.950563907623291
2005,1,1,2,30,0,0,0,1.8967965841293335
2005,1,1,3,30,0,0,0,1.8438785076141357
2005,1,1,4,30,0,0,0,1.7627149820327759
2005,1,1,5,30,0,0,0,3.188610315322876
2005,1,1,6,30,0,0,0,3.2612805366516113
2005,1,1,7,30,0,0,0,3.4856646060943604
2005,1,1,8,30,79,257,125,3.063380479812622
2005,1,1,9,30,127,535,317,2.664402961730957
2005,1,1,10,30,157,660,485,2.4818782806396484
2005,1,1,11,30,173,697,586,2.0651915073394775
2005,1,1,12,30,175,734,641,1.5016368627548218
2005,1,1,13,30,178,739,637,0.8532911539077759
2005,1,1,14,30,166,697,552,0.5808529257774353
2005,1,1,15,30,143,601,405,0.46774613857269287
2005,1,1,16,30,106,438,226,0.666071891784668
2005,1,1,17,30,24,0,24,1.3433198928833008
2005,1,1,18,30,0,0,0,1.9778317213058472
2005,1,1,19,30,0,0,0,2.4544386863708496
2005,1,1,20,30,0,0,0,2.7337777614593506
2005,1,1,21,30,0,0,0,2.836348533630371
2005,1,1,22,30,0,0,0,2.9078164100646973
2005,1,1,23,30,0,0,0,2.9980528354644775
2005,1,2,0,30,0,0,0,3.0642685890197754
2005,1,2,1,30,0,0,0,3.133099317550659
2005,1,2,2,30,0,0,0,3.2486891746520996
2005,1,2,3,30,0,0,0,3.3121888637542725
2005,1,2,4,30,0,0,0,3.3166894912719727
2005,1,2,5,30,0,0,0,3.310582399368286
2005,1,2,6,30,0,0,0,3.3111188411712646
2005,1,2,7,30,0,0,0,3.2755801677703857
2005,1,2,8,30,74,288,125,2.899293899536133
2005,1,2,9,30,127,531,315,2.661198139190674
2005,1,2,10,30,156,657,483,2.6549735069274902
2005,1,2,11,30,173,721,600,2.272071123123169
2005,1,2,12,30,180,746,654,2.043168783187866
2005,1,2,13,30,178,740,638,2.076046943664551
2005,1,2,14,30,167,699,554,2.183995246887207
2005,1,2,15,30,145,611,412,2.279362678527832
2005,1,2,16,30,141,289,222,2.3117027282714844
2005,1,2,17,30,26,0,26,2.430131673812866
2005,1,2,18,30,0,0,0,2.5609841346740723
2005,1,2,19,30,0,0,0,2.5826709270477295
2005,1,2,20,30,0,0,0,2.8299529552459717
2005,1,2,21,30,0,0,0,3.1175620555877686
2005,1,2,22,30,0,0,0,3.2908599376678467
2005,1,2,23,30,0,0,0,3.365267276763916
2005,1,3,0,30,0,0,0,3.3767218589782715
2005,1,3,1,30,0,0,0,3.390204668045044
2005,1,3,2,30,0,0,0,3.273803472518921
2005,1,3,3,30,0,0,0,3.0772905349731445
2005,1,3,4,30,0,0,0,2.809608221054077
2005,1,3,5,30,0,0,0,2.530503988265991
2005,1,3,6,30,0,0,0,2.3119945526123047
2005,1,3,7,30,0,0,0,2.063642740249634
2005,1,3,8,30,74,288,125,1.508253812789917
2005,1,3,9,30,127,533,316,0.9225348830223083
2005,1,3,10,30,157,660,485,1.4001790285110474
2005,1,3,11,30,173,724,603,1.6554384231567383
2005,1,3,12,30,180,749,657,1.71546471118927
2005,1,3,13,30,178,742,641,1.7685259580612183
2005,1,3,14,30,167,701,557,2.1213743686676025
2005,1,3,15,30,145,613,415,2.5268847942352295
2005,1,3,16,30,107,445,232,2.8334498405456543
2005,1,3,17,30,29,0,29,3.126244068145752
2005,1,3,18,30,0,0,0,3.419509172439575
2005,1,3,19,30,0,0,0,3.511363983154297
2005,1,3,20,30,0,0,0,3.4773852825164795
2005,1,3,21,30,0,0,0,3.421574831008911
2005,1,3,22,30,0,0,0,3.2961230278015137
2005,1,3,23,30,0,0,0,3.2061338424682617
2005,1,4,0,30,0,0,0,3.226008176803589
2005,1,4,1,30,0,0,0,3.1667888164520264
2005,1,4,2,30,0,0,0,3.144040107727051
2005,1,4,3,30,0,0,0,3.186805248260498
2005,1,4,4,30,0,0,0,3.262200355529785
2005,1,4,5,30,0,0,0,3.36950421333313
2005,1,4,6,30,0,0,0,3.491105318069458
2005,1,4,7,30,0,0,0,3.50217604637146
2005,1,4,8,30,77,92,94,3.0331923961639404
2005,1,4,9,30,162,408,307,2.38677716255188
2005,1,4,10,30,231,373,417,2.4664926528930664
2005,1,4,11,30,197,682,602,2.4082131385803223
2005,1,4,12,30,187,721,647,2.143494129180908
2005,1,4,13,30,235,580,598,2.178452968597412
2005,1,4,14,30,167,700,559,2.2146928310394287
2005,1,4,15,30,182,536,419,2.2371976375579834
2005,1,4,16,30,137,175,187,2.3490350246429443
2005,1,4,17,30,27,0,27,2.652456283569336
2005,1,4,18,30,0,0,0,2.9166414737701416
2005,1,4,19,30,0,0,0,3.0209200382232666
2005,1,4,20,30,0,0,0,3.144036293029785
2005,1,4,21,30,0,0,0,3.2487006187438965
2005,1,4,22,30,0,0,0,3.2480521202087402
2005,1,4,23,30,0,0,0,3.2069520950317383
2005,1,5,0,30,0,0,0,3.1634113788604736
2005,1,5,1,30,0,0,0,3.077470064163208
2005,1,5,2,30,0,0,0,2.851821184158325
2005,1,5,3,30,0,0,0,2.6706271171569824
2005,1,5,4,30,0,0,0,2.5141303539276123
2005,1,5,5,30,0,0,0,2.3093044757843018
2005,1,5,6,30,0,0,0,2.0722405910491943
2005,1,5,7,30,0,0,0,1.9166721105575562
2005,1,5,8,30,78,249,122,1.7441006898880005
2005,1,5,9,30,127,532,316,1.2700824737548828
