Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,16395,-,-,India,27.55,71.95,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Wind Speed
2008,1,1,0,30,0,0,0,2.1202898025512695
2008,1,1,1,30,0,0,0,2.059267044067383
2008,1,1,2,30,0,0,0,2.0311412811279297
2008,1,1,3,30,0,0,0,2.0305211544036865
2008,1,1,4,30,0,0,0,2.0402426719665527
2008,1,1,5,30,0,0,0,1.7497684955596924
2008,1,1,6,30,0,0,0,1.5926470756530762
2008,1,1,7,30,0,0,0,1.3879456520080566
2008,1,1,8,30,81,230,123,1.23757803440094
2008,1,1,9,30,133,499,311,1.0779601335525513
2008,1,1,10,30,163,625,474,0.924230694770813
2008,1,1,11,30,182,677,583,1.488382339477539
2008,1,1,12,30,191,698,633,1.804168701171875
2008,1,1,13,30,192,681,614,2.0159802436828613
2008,1,1,14,30,171,670,541,2.2075421810150146
2008,1,1,15,30,154,565,399,2.346724510192871
2008,1,1,16,30,113,383,218,2.3887462615966797
2008,1,1,17,30,25,0,25,2.439157247543335
2008,1,1,18,30,0,0,0,2.485461473464966
2008,1,1,19,30,0,0,0,2.4823577404022217
2008,1,1,20,30,0,0,0,2.4465317726135254
2008,1,1,21,30,0,0,0,2.4247164726257324
2008,1,1,22,30,0,0,0,2.391960382461548
2008,1,1,23,30,0,0,0,2.251128673553467
2008,1,2,0,30,0,0,0,2.020059108734131
2008,1,2,1,30,0,0,0,1.825231909751892
2008,1,2,2,30,0,0,0,1.8716524839401245
2008,1,2,3,30,0,0,0,1.9759546518325806
2008,1,2,4,30,0,0,0,1.8435927629470825
2008,1,2,5,30,0,0,0,1.6407365798950195
2008,1,2,6,30,0,0,0,1.4665178060531616
2008,1,2,7,30,0,0,0,1.3844609260559082
2008,1,2,8,30,81,228,122,1.5034501552581787
2008,1,2,9,30,133,498,311,1.424507737159729
2008,1,2,10,30,163,625,474,1.2808116674423218
2008,1,2,11,30,182,678,584,2.0551018714904785
2008,1,2,12,30,191,700,635,2.473390579223633
2008,1,2,13,30,190,685,616,2.7357537746429443
2008,1,2,14,30,169,676,544,2.819134473800659
2008,1,2,15,30,153,572,403,2.819411277770996
2008,1,2,16,30,143,284,222,2.753295660018921
2008,1,2,17,30,22,0,22,2.8078901767730713
2008,1,2,18,30,0,0,0,2.9321792125701904
2008,1,2,19,30,0,0,0,3.0540030002593994
2008,1,2,20,30,0,0,0,3.079392433166504
2008,1,2,21,30,0,0,0,3.0958244800567627
2008,1,2,22,30,0,0,0,3.163628339767456
2008,1,2,23,30,0,0,0,3.220080614089966
2008,1,3,0,30,0,0,0,3.2437593936920166
2008,1,3,1,30,0,0,0,3.2777047157287598
2008,1,3,2,30,0,0,0,3.363541603088379
2008,1,3,3,30,0,0,0,3.4618453979492188
2008,1,3,4,30,0,0,0,3.5723209381103516
2008,1,3,5,30,0,0,0,3.6981730461120605
2008,1,3,6,30,0,0,0,3.837543487548828
