Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,16395,-,-,India,27.55,71.95,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Wind Speed
2003,1,1,0,30,0,0,0,2.1312055587768555
2003,1,1,1,30,0,0,0,2.126258134841919
2003,1,1,2,30,0,0,0,2.1096487045288086
2003,1,1,3,30,0,0,0,2.04946231842041
2003,1,1,4,30,0,0,0,2.025688886642456
2003,1,1,5,30,0,0,0,1.3738526105880737
2003,1,1,6,30,0,0,0,1.789628505706787
2003,1,1,7,30,0,0,0,2.336954116821289
2003,1,1,8,30,80,265,128,2.5343990325927734
2003,1,1,9,30,122,558,321,2.1711225509643555
2003,1,1,10,30,148,678,485,2.043355941772461
2003,1,1,11,30,160,742,599,1.969089388847351
2003,1,1,12,30,174,736,641,1.6293926239013672
2003,1,1,13,30,173,727,624,1.1672500371932983
2003,1,1,14,30,165,699,551,0.8419578671455383
2003,1,1,15,30,146,584,400,0.792264997959137
2003,1,1,16,30,108,402,219,0.9559267163276672
2003,1,1,17,30,23,0,23,1.3174493312835693
2003,1,1,18,30,0,0,0,1.77908194065094
2003,1,1,19,30,0,0,0,2.1627776622772217
2003,1,1,20,30,0,0,0,2.481297731399536
2003,1,1,21,30,0,0,0,2.8197336196899414
2003,1,1,22,30,0,0,0,3.111259698867798
2003,1,1,23,30,0,0,0,3.2775769233703613
2003,1,2,0,30,0,0,0,3.3103256225585938
2003,1,2,1,30,0,0,0,3.2958614826202393
2003,1,2,2,30,0,0,0,3.2607836723327637
2003,1,2,3,30,0,0,0,3.2358622550964355
2003,1,2,4,30,0,0,0,3.2539589405059814
2003,1,2,5,30,0,0,0,3.263092041015625
2003,1,2,6,30,0,0,0,3.2734503746032715
